variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,d_own_acc,d_own_auc,d_own_ece,d_common_posrate_pred,churn_vs_base,abs_d_common_acc
T25,logreg,0,0.02066666666666661,0.008719022804090981,-0.00264179821603488,-0.059904425987029164,-0.07678030134843306,-0.13689957690393226,-0.23887047989835675,0.019556025369978913,0.006996185294067425,-0.0014721587012960762,0.357,0.357,0.02066666666666661
T25,logreg,1,0.02633333333333332,0.010136610602601737,-0.003968448009702185,-0.06191688474229157,-0.08237963845332918,-0.05145594823295169,-0.099551900416042,0.0060782241014799565,0.00037646054462603384,-0.005783220854804729,0.3593333333333334,0.35933333333333334,0.02633333333333332
T25,logreg,2,0.031333333333333324,0.008241003059564989,0.0025254496755256275,-0.06927693708044147,-0.08172097319265148,-0.08960459183673464,-0.12432506995360393,0.016913319238900715,-0.0005738174173826049,0.00326792708196293,0.3643333333333333,0.36433333333333334,0.031333333333333324
T25,logreg,3,0.025000000000000022,0.01025576003057005,-0.005114026042026898,-0.05394171691887584,-0.07165101349296332,-0.17199944001991044,-0.22917627300101706,0.019556025369978913,0.0020505488360178514,0.0019916700939088504,0.364,0.364,0.025000000000000022
T25,logreg,4,0.022333333333333316,0.01071985165834377,-0.00868540515514046,-0.05661195812948,-0.07253352801116109,-0.08617471378795419,-0.16609974592568766,0.004756871035940802,-0.007631574182346612,-0.005003174380464627,0.3646666666666667,0.36466666666666664,0.022333333333333316
T25,rf,0,0.03200000000000003,0.021239308363076637,-0.0011647077494793823,-0.11651282853566952,-0.16250828022035718,-0.08913016426082626,-0.13095946404131054,0.026162790697674465,0.012128589021091707,-0.011208311959180123,0.471,0.471,0.03200000000000003
T25,rf,1,0.037666666666666626,0.022272346921153652,0.0014164628036387045,-0.1278444646717488,-0.1939198335911822,-0.08989235938277754,-0.16538950724503265,0.010835095137420758,0.01399786086247734,-0.010828329139182302,0.4706666666666666,0.4706666666666667,0.037666666666666626
T25,rf,2,0.03600000000000003,0.02253267930105496,0.003233544777611355,-0.10719365115485266,-0.14236161656210455,-0.1276599054255848,-0.18315128762683974,0.025369978858351017,0.014468762403991642,-0.003911724006846334,0.4736666666666667,0.4736666666666667,0.03600000000000003
T25,rf,3,0.03833333333333333,0.023874064797041905,0.0019081041439853175,-0.10255006257822274,-0.1516413874330162,-0.1238489298158287,-0.18692080146483359,0.03779069767441856,0.01957660596461175,-0.007106680769115817,0.47800000000000004,0.478,0.03833333333333333
T25,rf,4,0.03499999999999992,0.02181601083385043,0.00023740104869374168,-0.12253598247809755,-0.17369555835579953,-0.1257544176207068,-0.1511523064779372,0.02378435517970401,0.010514797082824878,-0.004385889941782045,0.4753333333333334,0.47533333333333333,0.03499999999999992
T25,hgb,0,0.018000000000000016,0.015720591460498534,-0.01716526628116824,-0.09594379337808628,-0.10707998735344537,-0.051074850671976035,-0.11193121007721696,0.013213530655391104,0.005152173796114545,0.0029805246473829042,0.3643333333333334,0.36433333333333334,0.018000000000000016
