variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
T25,d_common_acc,0.028911111111111103,0.006668412469825548,0.018000000000000016,0.03833333333333333,15,4.335531319025838,0.0006533107814151376,
T25,d_common_acc,0.02513333333333332,0.004113662871726648,0.02066666666666661,0.031333333333333324,5,,,logreg
T25,d_common_acc,0.035799999999999985,0.0025011108643071974,0.03200000000000003,0.03833333333333333,5,,,rf
T25,d_common_acc,0.0258,0.0065726706900619955,0.018000000000000016,0.031333333333333324,5,,,hgb
T25,d_common_auc,0.015980745014436137,0.005512597448345338,0.008241003059564989,0.023874064797041905,15,2.8989501163798783,6.103515625e-05,
T25,d_common_auc,0.009614449631034305,0.0010716796907018703,0.008241003059564989,0.01071985165834377,5,,,logreg
T25,d_common_auc,0.022346882043235518,0.0009850008841233743,0.021239308363076637,0.023874064797041905,5,,,rf
T25,d_common_auc,0.01598090336903859,0.0017088186243755822,0.013119274153908567,0.01733947661997859,5,,,hgb
T25,d_common_ece,-0.0002903096271327459,0.0067204565275826595,-0.01716526628116824,0.010332431728806844,15,-0.043197902693251994,0.846923828125,
T25,d_common_ece,-0.0035768455494757587,0.004084298536071214,-0.00868540515514046,0.0025254496755256275,5,,,logreg
T25,d_common_ece,0.0011261610048899473,0.0016714328046729971,-0.0011647077494793823,0.003233544777611355,5,,,rf
T25,d_common_ece,0.0015797556631875736,0.010872885041321395,-0.01716526628116824,0.010332431728806844,5,,,hgb
T25,d_sex_dp_diff,-0.08612470133120946,0.02463578102789508,-0.1278444646717488,-0.05394171691887584,15,-3.495919257996753,6.103515625e-05,
T25,d_sex_dp_diff,-0.06033038457162361,0.0058604819529466355,-0.06927693708044147,-0.05394171691887584,5,,,logreg
T25,d_sex_dp_diff,-0.11532739788371824,0.010481698717518537,-0.1278444646717488,-0.10255006257822274,5,,,rf
T25,d_sex_dp_diff,-0.08271632153828652,0.008234869304307982,-0.09594379337808628,-0.07325563204005003,5,,,hgb
T25,d_sex_tpr_gap,-0.11605424037296291,0.04016656707347844,-0.1939198335911822,-0.07165101349296332,15,-2.889324351783907,6.103515625e-05,
T25,d_sex_tpr_gap,-0.07701309089970762,0.00499591175595205,-0.08237963845332918,-0.07165101349296332,5,,,logreg
