variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
V1_workforce,d_common_acc,0.0005666666666666708,0.0018979939284362757,-0.00275000000000003,0.00275000000000003,15,0.29856084267537025,0.3055490667104117,
V1_workforce,d_common_acc,0.00010000000000001119,0.0018758331482303802,-0.0024999999999999467,0.0022499999999999742,5,,,logreg
V1_workforce,d_common_acc,0.0012500000000000178,0.0015909902576697397,-0.0012499999999999734,0.00275000000000003,5,,,rf
V1_workforce,d_common_acc,0.0003499999999999837,0.0023756578036409405,-0.00275000000000003,0.00275000000000003,5,,,hgb
V1_workforce,d_common_auc,0.00014834991992676756,0.0008452607471835577,-0.0016528504632808971,0.001560690309711732,15,0.17550787780111093,0.93408203125,
V1_workforce,d_common_auc,-0.00013773753860673031,0.00014435084278530968,-0.0003254091240563195,6.400941575157582e-05,5,,,logreg
V1_workforce,d_common_auc,0.0001515112924673989,0.0006325380500850892,-0.000515259040408389,0.0010626903526079756,5,,,rf
V1_workforce,d_common_auc,0.0004312760059196341,0.001370149447690697,-0.0016528504632808971,0.001560690309711732,5,,,hgb
V1_workforce,d_common_ece,-7.261186888693136e-05,0.0030785297526949185,-0.005213276852049467,0.003948629837367983,15,-0.023586541212852516,0.93408203125,
V1_workforce,d_common_ece,-0.0009962198579425378,0.003024924055711213,-0.005213276852049467,0.002391330105834295,5,,,logreg
V1_workforce,d_common_ece,0.0016873773380377752,0.0024436214277593856,-0.002096460922846752,0.003948629837367983,5,,,rf
V1_workforce,d_common_ece,-0.0009089930867560315,0.003498081434778711,-0.004875419186220243,0.003204527822048768,5,,,hgb
V1_workforce,d_sex_dp_diff,0.0008229001351907405,0.0038326016845654843,-0.005692117792276463,0.008619291130312151,15,0.21471058119728287,0.46021109814474837,
V1_workforce,d_sex_dp_diff,0.0018113207547169885,0.00433802386098194,-0.0026168224299065734,0.008619291130312151,5,,,logreg
V1_workforce,d_sex_dp_diff,6.912361135602563e-05,0.0029348684579730455,-0.003343325692117788,0.004119202962440477,5,,,rf
V1_workforce,d_sex_dp_diff,0.0005882560394992076,0.004688150562218117,-0.005692117792276463,0.005240698289543294,5,,,hgb
V1_workforce,d_sex_tpr_gap,-0.000523192838798033,0.013230948747075493,-0.027624309392265234,0.019681043115722274,15,-0.039543108268307446,0.7535516091563128,
V1_workforce,d_sex_tpr_gap,0.008228024878909435,0.008838923055735614,-0.0012330456226881115,0.019681043115722274,5,,,logreg
V1_workforce,d_sex_tpr_gap,-0.004775497135382967,0.012970536223131284,-0.027624309392265234,0.004339503103051312,5,,,rf
V1_workforce,d_sex_tpr_gap,-0.005022106259920567,0.014923437581067716,-0.027576622544978946,0.011049723756906049,5,,,hgb
V1_workforce,d_race_tpr_gap,-0.02105263157894738,0.026106493312905477,-0.07792397660818717,0.020029239766081952,15,-0.8064136123766659,0.0053763555368267985,
V1_workforce,d_race_tpr_gap,-0.00109649122807014,0.015917471095767934,-0.02331871345029235,0.020029239766081952,5,,,logreg
V1_workforce,d_race_tpr_gap,-0.019371345029239796,0.011704013089683161,-0.037865497076023436,-0.007675438596491224,5,,,rf
V1_workforce,d_race_tpr_gap,-0.0426900584795322,0.030141433875071028,-0.07792397660818717,-0.0010964912280702066,5,,,hgb
V1_workforce,churn_vs_base,0.01303333333333333,0.006834697889306829,0.00375,0.02325,15,1.9069362749338965,,
V1_workforce,churn_vs_base,0.0068000000000000005,0.0019477551180782455,0.00375,0.009,5,,,logreg
V1_workforce,churn_vs_base,0.01055,0.0017975678012247546,0.0085,0.01225,5,,,rf
V1_workforce,churn_vs_base,0.02175,0.0022844583603121335,0.01775,0.02325,5,,,hgb
V3_drop,d_common_acc,0.00020000000000001497,0.001835172237926767,-0.0024999999999999467,0.004750000000000032,15,0.10898159631379299,0.7326485010045912,
V3_drop,d_common_acc,0.0006000000000000227,0.0010547511554864148,-0.0007499999999999174,0.0020000000000000018,5,,,logreg
V3_drop,d_common_acc,-0.00044999999999999484,0.0014832396974191163,-0.0024999999999999467,0.0010000000000000009,5,,,rf
V3_drop,d_common_acc,0.00045000000000001706,0.0027692508012096126,-0.0020000000000000018,0.004750000000000032,5,,,hgb
