case,variant,model,seed,n_train,pos_rate_train,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
compas,C0_propublica,logreg,0,3737,0.45517795022745516,0.6886666666666666,0.7306612235242675,0.035570486265304936,0.37466666666666665,0.3254349655733043,0.4025413349663197,0.23775273715336048,0.21377537145541303
compas,C0_propublica,logreg,1,3737,0.45517795022745516,0.688,0.7306182136194448,0.03490438258420766,0.37133333333333335,0.3256216768974897,0.40771586037966934,0.2345360824742268,0.2141338475611264
compas,C0_propublica,logreg,2,3737,0.45517795022745516,0.6866666666666666,0.731985570176932,0.034928571814296754,0.362,0.30546259884928373,0.37271892222902625,0.2281027731159594,0.204899997527751
compas,C0_propublica,logreg,3,3737,0.45517795022745516,0.6853333333333333,0.7306737680798407,0.03452693481146557,0.36466666666666664,0.3303038224116783,0.41630434782608694,0.2306800927035883,0.20729807906252318
compas,C0_propublica,logreg,4,3737,0.45517795022745516,0.6846666666666666,0.7318242830338471,0.028955324446971454,0.3546666666666667,0.29208545059187485,0.34993876301285975,0.22230879884919685,0.20046231056392
compas,C0_propublica,rf,0,3737,0.45517795022745516,0.6693333333333333,0.7176121976090077,0.04084128165330671,0.402,0.22135632850852122,0.22489283527250453,0.26028929912890597,0.20106801157012538
compas,C0_propublica,rf,1,3737,0.45517795022745516,0.6733333333333333,0.7163030836309678,0.029016060142705254,0.3993333333333333,0.20082382781194436,0.21619718309859148,0.22414688723727322,0.1907587332196099
compas,C0_propublica,rf,2,3737,0.45517795022745516,0.674,0.7154384053360956,0.04039287559107767,0.408,0.23308467214927717,0.23897734231475815,0.23897146967154165,0.1824890602981532
compas,C0_propublica,rf,3,3737,0.45517795022745516,0.6773333333333333,0.7224741089333364,0.04074266927241619,0.3953333333333333,0.22172975115689209,0.22665339865278628,0.2332074642371933,0.18116640708052112
compas,C0_propublica,rf,4,3737,0.45517795022745516,0.674,0.7197555245326704,0.028385339535969802,0.4093333333333333,0.19595497097357029,0.2302816901408451,0.23832214496923204,0.19759450171821302
compas,C0_propublica,hgb,0,3737,0.45517795022745516,0.664,0.7045031370349331,0.0637144126816614,0.422,0.21161861483177308,0.25471524800979795,0.2582913769679533,0.21713763010210385
compas,C0_propublica,hgb,1,3737,0.45517795022745516,0.656,0.702674320040286,0.05861758974873637,0.398,0.20779246892692693,0.2333741579914268,0.20996163989450972,0.14963287102276945
compas,C0_propublica,hgb,2,3737,0.45517795022745516,0.656,0.7005560822277697,0.05393506150156886,0.39666666666666667,0.18460004998118526,0.2107011635027557,0.20544633581075683,0.17984375386288903
compas,C0_propublica,hgb,3,3737,0.45517795022745516,0.674,0.7102700484399053,0.0538378781114074,0.39466666666666667,0.2209053488485656,0.20045927740355168,0.23642411891632703,0.19627184850058094
compas,C0_propublica,hgb,4,3737,0.45517795022745516,0.672,0.7094600285657452,0.060022813319591,0.39666666666666667,0.19321749571282074,0.22137170851194116,0.21060097498601454,0.1760117679052634
compas,C1_nowindow,logreg,0,4571,0.4493546269962809,0.684,0.7337292634016175,0.04093221986754029,0.33266666666666667,0.28642378874619034,0.36183404776484995,0.22365739630783982,0.20225469109248684
compas,C1_nowindow,logreg,1,4571,0.4493546269962809,0.6866666666666666,0.7341808674022555,0.04413034220277494,0.326,0.27817976566292574,0.35655235762400495,0.22367737552944938,0.20261316719820027
compas,C1_nowindow,logreg,2,4571,0.4493546269962809,0.6913333333333334,0.7326844811303003,0.047737670787623566,0.3426666666666667,0.303098546236905,0.3951775872627067,0.24299728282586108,0.22623550644020862
compas,C1_nowindow,logreg,3,4571,0.4493546269962809,0.6833333333333333,0.7344586397042352,0.03713770769644734,0.3253333333333333,0.27304664048878147,0.3512706674831598,0.224326700231759,0.20812628247917125
compas,C1_nowindow,logreg,4,4571,0.4493546269962809,0.6833333333333333,0.7355141744517582,0.04023984862826411,0.32,0.26645142202216976,0.33377219840783834,0.22433668984256375,0.2084847585848847
compas,C1_nowindow,rf,0,4571,0.4493546269962809,0.674,0.7125415090383522,0.03269782879350624,0.37333333333333335,0.21175936644538979,0.22457134109001842,0.2539159274354671,0.21077158891443543
compas,C1_nowindow,rf,1,4571,0.4493546269962809,0.6726666666666666,0.7186274105707594,0.03289823181147674,0.38133333333333336,0.20010857981621863,0.22291794243723212,0.2242068249021018,0.21005463670300878
compas,C1_nowindow,rf,2,4571,0.4493546269962809,0.6726666666666666,0.7154841033599696,0.029983857847634177,0.36933333333333335,0.20250422972961327,0.20707287201469687,0.22811276272676417,0.2059754258448911
compas,C1_nowindow,rf,3,4571,0.4493546269962809,0.6793333333333333,0.7149195983591722,0.031198200540441427,0.38266666666666665,0.17159632437214728,0.18120024494794856,0.23065012387117395,0.20658112685109642
compas,C1_nowindow,rf,4,4571,0.4493546269962809,0.6713333333333333,0.7177914055457688,0.03815394530387155,0.38266666666666665,0.13712654144560527,0.1288120024494795,0.2183928714137297,0.204899997527751
